               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092018,            0.027006,            0.012579,             0.82296,             0.23827,             0.29471,            0.098279,            0.071043,            0.016368,           0.0052088,            0.070073,           0.0033252,           0.0033252
                   1,            0.069173,            0.015187,           0.0041805,             0.46113,             0.49082,             0.41657,             0.16078,            0.061442,            0.012311,              0.0032,            0.039941,           0.0065267,           0.0065267
                   2,             0.06436,            0.012056,           0.0032604,             0.55471,             0.59809,             0.56382,             0.20303,            0.056787,            0.010464,           0.0027522,           0.0096773,           0.0095962,           0.0095962
                   3,            0.058264,            0.010807,           0.0027751,             0.63388,             0.58776,             0.55419,             0.22823,            0.057608,            0.010215,           0.0021262,            0.009406,            0.009406,            0.009406
                   4,            0.053263,            0.010359,           0.0023419,             0.76456,             0.65412,             0.71917,             0.33076,            0.051846,           0.0099745,            0.002364,            0.009406,            0.009406,            0.009406
                   5,            0.050514,           0.0098443,            0.002075,             0.79433,             0.68163,             0.72895,             0.34309,            0.048168,           0.0098894,           0.0020056,            0.009208,            0.009208,            0.009208
                   6,            0.048078,           0.0093832,           0.0018897,             0.83749,             0.68308,             0.73588,              0.3463,            0.048139,           0.0097425,           0.0019393,             0.00901,             0.00901,             0.00901
                   7,            0.045834,           0.0091826,           0.0017304,             0.80884,             0.69297,              0.7358,             0.35333,             0.04654,           0.0092629,           0.0017457,            0.008812,            0.008812,            0.008812
                   8,            0.044526,           0.0087534,           0.0016101,             0.78341,             0.72446,             0.75875,              0.3779,            0.045474,           0.0094318,            0.001838,            0.008614,            0.008614,            0.008614
                   9,            0.043259,           0.0086877,           0.0015826,             0.80111,             0.72117,             0.75387,             0.38482,            0.043981,           0.0095327,           0.0016234,            0.008416,            0.008416,            0.008416
                  10,            0.042002,           0.0082807,           0.0015154,             0.84186,             0.73229,             0.76298,             0.39377,            0.043595,           0.0093283,           0.0014783,            0.008218,            0.008218,            0.008218
                  11,            0.040518,           0.0083637,            0.001405,             0.84061,             0.72249,             0.76092,             0.39292,            0.042051,           0.0096021,           0.0014738,             0.00802,             0.00802,             0.00802
                  12,            0.039414,           0.0080917,           0.0013776,             0.81781,             0.73261,             0.76062,             0.39948,            0.042875,           0.0094154,           0.0015594,            0.007822,            0.007822,            0.007822
                  13,            0.038516,           0.0079919,           0.0013386,             0.83457,             0.72131,             0.77997,             0.41154,            0.041994,           0.0091997,           0.0013186,            0.007624,            0.007624,            0.007624
                  14,            0.037519,           0.0077929,           0.0012434,             0.83804,             0.74311,             0.77122,             0.41386,             0.04185,           0.0093191,           0.0014999,            0.007426,            0.007426,            0.007426
                  15,            0.036872,           0.0075596,            0.001283,             0.85725,             0.69658,             0.76078,              0.4058,            0.041951,           0.0096495,           0.0015222,            0.007228,            0.007228,            0.007228
                  16,            0.036385,            0.007652,           0.0012886,             0.82532,             0.74893,             0.77874,             0.42345,            0.041263,           0.0092629,           0.0015339,             0.00703,             0.00703,             0.00703
                  17,            0.035977,            0.007633,            0.001203,             0.86317,             0.72516,             0.78783,             0.41257,            0.041413,           0.0091596,           0.0015603,            0.006832,            0.006832,            0.006832
                  18,            0.034612,           0.0072435,           0.0012178,             0.85583,             0.74017,             0.78676,             0.42809,            0.040186,           0.0094194,           0.0012701,            0.006634,            0.006634,            0.006634
                  19,            0.033951,           0.0072629,           0.0011317,             0.86635,             0.75996,             0.80873,             0.42013,            0.040753,           0.0088548,           0.0012364,            0.006436,            0.006436,            0.006436
                  20,            0.033558,           0.0071526,           0.0011144,             0.86044,             0.73712,             0.79083,              0.4287,            0.040394,           0.0094565,            0.001272,            0.006238,            0.006238,            0.006238
                  21,            0.032959,           0.0069687,           0.0011429,             0.85994,             0.74116,             0.79042,             0.43112,            0.040501,           0.0092343,           0.0013558,             0.00604,             0.00604,             0.00604
                  22,            0.032526,           0.0071797,           0.0010631,             0.88821,             0.73979,             0.79922,             0.44231,            0.039699,            0.009239,           0.0012349,            0.005842,            0.005842,            0.005842
                  23,            0.031816,           0.0068149,           0.0011115,             0.87387,              0.7273,             0.78269,             0.42603,            0.039469,           0.0097384,           0.0013354,            0.005644,            0.005644,            0.005644
                  24,             0.03114,           0.0067044,          0.00096624,             0.84563,             0.77003,             0.80136,             0.44781,            0.039403,           0.0089832,             0.00125,            0.005446,            0.005446,            0.005446
                  25,            0.030667,           0.0067531,           0.0010209,             0.85901,             0.75072,             0.79287,             0.43818,            0.039595,           0.0091963,           0.0013065,            0.005248,            0.005248,            0.005248
                  26,            0.030049,           0.0065362,          0.00099454,             0.83891,             0.77426,             0.80493,              0.4323,            0.040124,           0.0089133,           0.0013687,             0.00505,             0.00505,             0.00505
                  27,            0.029926,            0.006688,           0.0010309,             0.86242,             0.74766,             0.80414,             0.44802,            0.039269,           0.0091625,           0.0012102,            0.004852,            0.004852,            0.004852
                  28,            0.029028,           0.0065915,          0.00094075,             0.85783,             0.77376,             0.80691,             0.45075,            0.038611,            0.009262,           0.0013775,            0.004654,            0.004654,            0.004654
                  29,            0.028507,           0.0064965,           0.0009418,             0.88441,             0.73882,             0.79232,             0.43412,            0.039734,           0.0093776,           0.0011821,            0.004456,            0.004456,            0.004456
                  30,            0.028467,           0.0062627,          0.00092662,             0.88218,             0.71795,             0.78821,             0.43319,            0.039696,           0.0096227,           0.0011336,            0.004258,            0.004258,            0.004258
                  31,            0.027932,           0.0063817,          0.00093507,              0.8546,             0.74622,             0.80049,             0.44748,            0.039706,           0.0094699,           0.0011229,             0.00406,             0.00406,             0.00406
                  32,            0.027403,           0.0061877,          0.00092546,              0.8714,             0.73768,             0.79867,             0.44371,             0.03919,           0.0094214,           0.0011847,            0.003862,            0.003862,            0.003862
                  33,            0.026644,           0.0063769,          0.00090336,             0.84709,             0.71859,             0.77455,             0.43978,            0.039638,           0.0096247,           0.0011617,            0.003664,            0.003664,            0.003664
                  34,            0.026504,           0.0062799,           0.0009208,             0.86573,             0.74441,             0.79009,             0.44371,            0.039034,           0.0093886,           0.0011621,            0.003466,            0.003466,            0.003466
                  35,            0.026134,            0.006061,          0.00086435,             0.84576,              0.7544,             0.80007,             0.44798,             0.03928,           0.0092897,           0.0011348,            0.003268,            0.003268,            0.003268
                  36,             0.02574,           0.0060596,           0.0008676,             0.86168,             0.74333,             0.79211,             0.45438,            0.039015,           0.0097046,           0.0010938,             0.00307,             0.00307,             0.00307
                  37,            0.025303,           0.0058785,          0.00082801,             0.87673,             0.74479,             0.78852,             0.44336,            0.039129,           0.0095166,           0.0011466,            0.002872,            0.002872,            0.002872
                  38,            0.025048,           0.0059294,          0.00086887,             0.90864,             0.72756,             0.81673,             0.45098,            0.038833,           0.0094572,           0.0010512,            0.002674,            0.002674,            0.002674
                  39,            0.024445,           0.0057354,          0.00078047,               0.863,             0.73845,             0.80329,             0.45405,            0.038482,             0.01006,           0.0010844,            0.002476,            0.002476,            0.002476
                  40,            0.023742,           0.0057849,          0.00074322,             0.85761,             0.75333,             0.79805,             0.45161,            0.038755,           0.0095666,           0.0010666,            0.002278,            0.002278,            0.002278
                  41,            0.024028,           0.0057941,          0.00082547,             0.86907,              0.7398,             0.79036,             0.45436,            0.038894,            0.010048,           0.0011489,             0.00208,             0.00208,             0.00208
                  42,            0.023383,           0.0055818,          0.00075993,             0.89037,             0.74645,             0.81348,             0.44677,            0.038952,           0.0097671,           0.0011006,            0.001882,            0.001882,            0.001882
                  43,            0.023068,           0.0055492,          0.00082611,             0.86171,             0.76101,             0.80727,             0.45283,            0.038787,            0.009642,           0.0010793,            0.001684,            0.001684,            0.001684
                  44,            0.022781,           0.0054759,          0.00075877,             0.85793,             0.76379,             0.80855,             0.45957,             0.03867,           0.0095216,           0.0010711,            0.001486,            0.001486,            0.001486
                  45,            0.022802,           0.0055015,           0.0007744,             0.86581,             0.75245,             0.80569,             0.46043,            0.038533,           0.0094687,           0.0010827,            0.001288,            0.001288,            0.001288
                  46,            0.022158,           0.0052907,          0.00077297,             0.85528,             0.74732,             0.79032,             0.45711,            0.038766,            0.009743,           0.0011072,             0.00109,             0.00109,             0.00109
                  47,            0.021976,           0.0053546,          0.00079513,             0.85741,             0.74967,             0.79464,             0.46401,            0.038693,           0.0099508,           0.0010589,            0.000892,            0.000892,            0.000892
                  48,            0.021792,           0.0052248,          0.00075791,             0.89787,             0.72666,             0.80206,             0.46368,            0.038548,           0.0098106,           0.0010683,            0.000694,            0.000694,            0.000694
                  49,            0.021639,           0.0053825,           0.0007233,             0.86415,              0.7577,             0.81075,             0.46828,            0.038533,           0.0098192,           0.0010727,            0.000496,            0.000496,            0.000496
